X1,X2,Alignment
-11.175303,-6.055744,good
-4.29382,11.539715,good
-22.352827,-3.5488894,good
7.6785846,18.806591,good
11.390289,13.708258,bad
17.365736,22.226688,bad
2.7018125,-4.109697,good
-15.951382,-14.601076,good
4.515568,0.56812155,good
19.031376,25.094421,bad
7.393324,23.322742,good
-21.199762,-11.590185,good
18.83091,22.81524,bad
-5.8028016,-5.188111,good
1.8946867,-18.936304,good
5.68686,1.6777529,good
7.2169013,16.558985,bad
-23.704464,-4.845749,good
-18.710142,-8.408153,good
10.492302,24.237312,bad
7.493278,13.366589,
10.597014,25.257301,bad
-14.099611,-14.676806,good
5.4547906,1.1841723,good
10.753559,13.777853,good
-6.23637,-5.0195107,good
-6.3547072,2.384738,bad
9.994751,11.852808,good
-2.318678,-20.568136,good
10.609285,9.002844,good
13.161522,11.280932,good
1.6249678,-19.850025,good
9.4862795,-10.322566,good
7.4453664,-2.702605,bad
-18.968695,-9.595269,good
-9.525899,2.2823935,bad
5.649167,-13.172332,good
-6.7718506,6.7888227,good
-4.5166225,-8.307254,good
-21.12474,-7.801548,good
-23.50266,-3.5594246,good
-21.632303,-4.281457,good
-0.3413593,5.8153934,good
-9.840461,1.425204,good
6.275906,-0.5174198,good
1.4672358,-24.310356,good
7.892488,23.324694,good
9.488897,25.082651,good
12.718017,8.1259365,good
-15.689258,-11.353469,good
-21.871675,-7.8927693,bad
-9.540137,-2.437037,good
-13.628482,-10.923555,good
3.9210353,-6.100903,good
19.109488,23.286522,neutral
18.137531,21.301664,bad
19.884052,24.524065,good
-19.176222,-5.758506,good
-1.3951285,-7.083873,good
4.825513,-14.527979,good
-6.6102552,-15.612186,bad
-7.051714,-8.117711,good
-20.91577,-6.2794657,good
-1.7124327,-0.23630595,bad
-13.872974,-9.743797,bad
-0.5967105,-14.417532,
-8.902157,-3.860193,good
1.0274867,-4.35883,good
-0.7171859,-18.476017,good
2.2218282,-18.107208,bad
-5.09276,10.394234,bad
7.6509266,21.950712,bad
5.930194,-7.628219,good
7.9272614,0.32419643,good
-0.031380866,-16.49562,good
6.772021,18.03862,good
-8.606705,6.772417,good
6.2599535,5.2981963,bad
-6.8331137,-19.258402,good
-3.5884643,-5.495481,bad
-7.2057953,-23.079239,good
-17.066,-12.776849,good
2.8063374,14.598973,good
-7.8566203,0.9011022,bad
-0.16405766,-18.687218,good
8.132052,-1.1953427,good
-5.01318,-7.779882,good
-0.23517753,9.584759,good
15.173263,16.83308,good
12.67551,7.1551332,good
8.392551,13.883855,bad
-18.176695,-7.2291045,good
8.373733,16.599693,good
1.3848798,-5.635129,good
-24.302961,-6.8245344,bad
-3.2721233,-15.467521,bad
-1.1820906,10.561213,good
3.416027,-4.3214293,good
5.2807736,-8.782981,good
12.787157,9.020625,good
-4.2197237,-20.974169,good
6.4269915,10.247884,good
18.108282,22.959671,bad
-6.7582855,-16.535042,good
-4.0490108,-14.286832,good
-0.8359973,-22.046183,good
-4.63605,-16.97761,good
4.518447,-0.58318233,good
-2.974964,-4.153939,good
9.850179,25.428694,bad
2.6340053,-17.468002,good
10.029295,-15.397877,good
-4.2472854,-15.176879,good
